image_name,timestamp
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 115.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 116.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 117.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 118.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 119.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 120.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 121.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 122.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 123.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 124.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 125.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 126.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 127.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 128.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 129.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 130.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 131.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 132.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 133.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 134.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 135.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 136.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 137.jpg,2022-06-03T13:16:25Z
